id,color_pre_hsv,cara_geometrica,fila_geometrica,columna_geometrica,area,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,solidez,extent,aspect_ratio,major_axis,minor_axis,meanH,meanS,meanV,meanR,meanG,meanB,cluster_kmeans,color_kmeans,score
1,geometrico,superior,1,1,7653.89797103782,66.3682318820887,99.4250395700528,10,67.2417216945687,113.71961138553,67.3049958383145,1,1,1.68961620113188,113.71961138553,67.3049958383145,0.412627989241097,0.810417057945501,0.813035664844546,0.153819439582864,0.813035664844546,0.467497517538124,4,verde,1
2,geometrico,superior,1,2,6909.28808038374,125.278518602877,68.0585802418764,70.331918849505,38.1991815231893,110.818540987047,62.3477625570918,1,1,1.77742610868466,110.818540987047,62.3477625570918,0.152126625137711,0.65551555621066,0.877761275233023,0.877761275233023,0.827450980392157,0.303137989433975,3,amarillo,1
3,geometrico,superior,1,3,6254.65256650384,180.297255697642,38.76415518586,126.710298508883,10.9999999999999,108.04630859961,57.8886280111786,1,1,1.86645136206624,108.04630859961,57.8886280111786,0.0740516568745431,0.934717527493331,0.965355851780096,0.965355851780096,0.464638175287153,0.0627450980392157,1,naranja,1
4,geometrico,superior,2,1,9025.17053802443,123.238783437893,136.777945241344,63.2404947732233,101.232777854412,121.101945714682,74.5253966380346,1,1,1.62497552750866,121.101945714682,74.5253966380346,0.0148309248234158,0.875348576960207,0.928696772914694,0.928696772914694,0.188112085066066,0.11573463311037,1,rojo,1
5,geometrico,superior,2,2,8100.93360483861,183.269669313124,102.380412988253,124.888535042314,69.5236169371009,117.798785276773,68.7692456743515,1,1,1.71295735647001,117.798785276773,68.7692456743515,0.01176038563042,0.853319036952351,0.859035421882444,0.859035421882444,0.178472933817226,0.126337132198161,1,rojo,1
6,geometrico,superior,2,3,7294.35000076464,239.129158714646,70.3730794246021,182.288883869775,39.9272303469937,114.654347185753,63.6203526495769,1,1,1.80216459687473,114.654347185753,63.6203526495769,0.151440526032006,0.646482944400358,0.871937712073187,0.871937712073187,0.819607843137255,0.30816867498034,3,amarillo,1
7,geometrico,superior,3,1,10752.0040796578,186.828342745679,178.543933886134,122.710898765178,139.052816156657,129.486606225396,83.0356466439619,1,1,1.55940986141296,129.486606225396,83.0356466439619,0.0150945199867729,0.84692760373935,0.96078431372549,0.96078431372549,0.220904326444072,0.147145908876342,1,rojo,1
8,geometrico,superior,3,2,9589.48002479098,247.851596185388,140.602970488856,185.588460719201,104.24844184108,125.695116894663,76.2915876264893,1,1,1.64756195021193,125.695116894663,76.2915876264893,0.333333333333333,0.0296244898788001,0.926977623814798,0.901043341265784,0.926977623814798,0.900761707086329,5,blanco,1
9,geometrico,superior,3,3,8583.30376708525,304.402365114584,105.442756421436,243.898549873943,71.8845309716326,122.101450126058,70.2964932703408,1,1,1.73694937607327,122.101450126058,70.2964932703408,0.0021266182256562,0.769133220782382,0.890937400419891,0.890937400419891,0.209644528679927,0.206252636105659,1,rojo,1
10,geometrico,izquierda,1,1,5980.17368663577,39.2149895915286,150.729493409101,10,98.0000000000001,57.5616145971247,103.891694638713,1,1,0.554054054054053,103.891694638713,57.5616145971247,0.0792229715668995,0.935695368745876,0.979659197207529,0.979659197207529,0.498039215686275,0.0629952859887988,1,naranja,1
11,geometrico,izquierda,1,2,6398.98923018993,93.1107450775962,189.917196581044,63.1244042831096,134.855741661194,59.0328274007053,108.397132780963,1,1,0.544597683409139,108.397132780963,59.0328274007053,0.125,0.0518258219561002,0.897000792198499,0.897000792198499,0.887648570406328,0.850980392156863,6,blanco,1
12,geometrico,izquierda,1,3,7508.12460975225,153.322708297437,233.697426040282,122.581346514301,176.104763319101,66.2815759928491,113.27619322996,1,1,0.585132445776069,113.27619322996,66.2815759928491,0.547244703720144,0.962998567157964,0.788906656531627,0.0292706151494706,0.57334697946617,0.788906656531627,2,azul,1
