id,cara,fila,columna,color,cluster,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,meanH,meanS,meanV,meanR,meanG,meanB
19,derecha,1,1,naranja,2,238.252756086237,251.411802461786,200.604696688271,195.346970534447,75.0920220797133,112.435257794852,0.0762805873859699,0.9356792513343,0.976470588235294,0.976470588235294,0.478992734676094,0.0627450980392157
20,derecha,1,2,verde,3,303.919302115025,212.439014217336,269.775096895312,161.420920772383,68.1196528885012,102.289596016006,0.396220934125668,0.787466765695727,0.687439607026599,0.145869423415794,0.687439607026599,0.350438161478948
21,derecha,1,3,naranja,2,358.90598539803,179.804674611386,327.67011342552,133,62.3298865744802,93.8228818963229,0.0698393064865366,0.934300542990279,0.884995172147646,0.884995172147646,0.404400407651026,0.0582322591655642
22,derecha,2,1,naranja,2,234.765896163332,316.280910909144,200.276908215643,264.748929220743,68.8066589718385,103.321215699097,0.07302568428964,0.934083841708865,0.926491670699898,0.926491670699898,0.4403471248861,0.0610559136041572
23,derecha,2,2,azul,1,295.656019234451,275.012518415511,264.130589141133,227.77495527997,62.9070279805653,94.6916315917982,0.554275163754357,0.956452357025844,0.654901960784314,0.028494039600264,0.450980392156863,0.654901960784314
24,derecha,2,3,amarillo,5,347.348741206059,239.977681371464,318.318795747237,196.374088412616,57.9374260427984,87.3919100253234,0.154320987654321,0.704180106196792,0.752941176470588,0.752941176470588,0.713725490196078,0.22270130170471
25,derecha,3,1,rojo,6,231.819033285386,371.103981475683,200,323.42749635372,63.4922227020737,95.5725036462794,0.0153531663101867,0.871623229592825,0.805511443505114,0.805511443505114,0.167918813468848,0.103005508386969
26,derecha,3,2,azul,1,288.575376708516,328.630507927146,259.295641405529,284.652522645235,58.4354233872006,88.1430814543525,0.552441575254059,0.91599840510903,0.705996310806395,0.0590480054757697,0.501960784313725,0.705996310806395
27,derecha,3,3,azul,1,337.328955013893,292.145884470836,310.213941540927,251.33413603079,54.1232337776968,81.7848705606956,0.552817568398875,0.923509069376264,0.717123730427167,0.0548254132145455,0.505882352941176,0.717123730427167
10,izquierda,1,1,naranja,2,43.1788877104666,158.18172903425,9.99999999999999,103,65.6439554944937,109.176262822421,0.0788013336544364,0.935565170265768,0.979410719943693,0.979410719943693,0.496113646918758,0.0630282920774049
11,izquierda,1,2,azul,1,102.966730607301,200.994881517058,69.265002903351,144.298498820833,66.6526621832006,112.129706703967,0.54932976527601,0.963242296965327,0.768718437820589,0.0283472750697406,0.549558969624848,0.768718437820589
12,izquierda,1,3,azul,1,167.20445450672,246.994525177057,132.99311750115,188.707093044024,68.0013546081294,115.228596471707,0.547377326565144,0.965051710012352,0.8,0.027648179891437,0.580392156862745,0.8
13,izquierda,2,1,azul,1,51.3012844851697,223.424470972415,20.0027868631296,171.908087279338,61.9593363061489,101.983199994502,0.551565377532228,0.962878234296106,0.73154497350577,0.0274509803921569,0.512911114623044,0.73154497350577
14,izquierda,2,2,amarillo,5,108.052925912556,266.077497833515,76.2926193069037,213.255093163061,62.8518464088127,104.532544553604,0.147491790024318,0.691215812323787,0.890196078431372,0.890196078431372,0.819607843137255,0.274509803921569
15,izquierda,2,3,blanco,4,168.786313092732,311.723099081473,136.57577761621,257.535347573021,64.0463308693845,107.194897297621,0.166666666666667,0.0446428571428572,0.890196078431372,0.890196078431372,0.890094377470797,0.850358632048325
16,izquierda,3,1,rojo,6,58.5976724795117,282.032339093088,28.9783036448382,233.739425108885,58.6656755256273,95.6514785240015,0.0163567201727169,0.885127610089411,0.819607843137255,0.819607843137255,0.165725834642585,0.0941778010982242
17,izquierda,3,2,rojo,6,112.605269442981,324.328982401017,82.5750981321923,274.900225586632,59.4608607820573,97.8707845903769,0.0189891075689177,0.878050369695178,0.803921568627451,0.803921568627451,0.178788677389709,0.0980392156862745
18,izquierda,3,3,verde,3,170.1966296267,369.432289273881,139.765832492396,318.821068776827,60.5261187027573,100.178931223173,0.399032816395652,0.734779062445986,0.780775076494807,0.207603690212565,0.780775076494807,0.433284515926656
1,superior,1,1,verde,3,72.595249782526,107.941730245989,10,71.3558629937823,125.314770572398,74.2772325568453,0.412792637534406,0.804206614627133,0.831372549019608,0.162631429959663,0.831372549019608,0.482036692126418
2,superior,1,2,rojo,6,136.398255491258,75.8827366148432,74.6060099105811,40.2595546760746,123.705468707514,72.307655818506,0.0135967247946331,0.874082405048127,0.847607690300222,0.847607690300222,0.167656967031578,0.106768155747776
3,superior,1,3,amarillo,5,198.45956593525,44.6988898013031,137.450103682168,10,122.136737630678,70.4172178726287,0.145583181627718,0.705755433816137,0.859135171058677,0.859135171058677,0.782106238415774,0.252594868534761
4,superior,2,1,rojo,6,135.485887087924,151.136416283975,71.8082455658308,113.319576883674,127.483765247624,76.7952807675141,0.0180986113293792,0.863951038103167,0.92140920614786,0.92140920614786,0.211764567182394,0.125457196441242
5,superior,2,2,rojo,6,199.429798864648,117.954984120893,136.583114788163,81.1496174953255,125.818389047884,74.7251300989231,0.0133042659087945,0.8609179928968,0.874509803921569,0.874509803921569,0.181106010839074,0.121604737504124
6,superior,2,3,blanco,3,261.600511097623,85.6936911663415,199.563499950139,49.858819237124,124.195719713112,72.7394874280072,0.383417513719591,0.0280859253772199,0.825557685683608,0.803380216692612,0.825557685683608,0.809400857076389
7,superior,3,1,blanco,4,200.460309887716,195.762292464998,135.66231721721,156.652638692151,129.728896275963,79.4408329145918,0.197622708131085,0.0395720210152282,0.996078431372549,0.984313725490196,0.996078431372549,0.954478098009504
8,superior,3,2,naranja,2,264.519952795506,161.401311464705,200.582350130695,123.355210742932,128.004475518682,77.2632664574651,0.089445287468248,0.928581218265937,0.979840985298917,0.979840985298917,0.557963797073566,0.0699109188158891
9,superior,3,3,amarillo,5,326.774586801025,128.008520010607,263.674950430075,90.9821909124744,126.325049569926,75.1760345715003,0.135396582626587,0.663867866600904,0.946511620889853,0.946511620889853,0.831372549019608,0.318359362043703
