cara,fila,columna,id_sticker,color,codigo,distancia_celda
superior,1,1,1,verde,V,0
superior,1,2,2,amarillo,A,0
superior,1,3,3,amarillo,A,0
superior,2,1,4,rojo,R,0
superior,2,2,5,amarillo,A,0
superior,2,3,6,verde,V,0
superior,3,1,7,naranja,N,0
superior,3,2,8,blanco,B,0
superior,3,3,9,verde,V,0
izquierda,1,1,10,amarillo,A,0
izquierda,1,2,11,verde,V,0
izquierda,1,3,12,blanco,B,0
izquierda,2,1,13,blanco,B,0
izquierda,2,2,14,rojo,R,0
izquierda,2,3,15,naranja,N,0
izquierda,3,1,16,azul,Az,0
izquierda,3,2,17,azul,Az,0
izquierda,3,3,18,azul,Az,0
derecha,1,1,19,azul,Az,0
derecha,1,2,20,azul,Az,0
derecha,1,3,21,amarillo,A,0
derecha,2,1,22,blanco,B,0
derecha,2,2,23,verde,V,0
derecha,2,3,24,amarillo,A,0
derecha,3,1,25,rojo,R,0
derecha,3,2,26,naranja,N,0
derecha,3,3,27,blanco,B,0
