id,cara,fila,columna,color,cluster,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,meanH,meanS,meanV,meanR,meanG,meanB
19,derecha,1,1,azul,5,238.815789073175,227.163169948246,204.1365377429,170.363016360262,68.0031754155053,114.666960809726,0.549342105263158,0.962025316455696,0.619607843137255,0.0235294117647059,0.443402421703047,0.619607843137255
20,derecha,1,2,naranja,1,297.910342534776,188.169476329223,267.829366214572,137.236326954564,59.6615801497785,102.727861513727,0.0659655541827138,0.932716032034717,0.870588235294118,0.870588235294118,0.379722840228764,0.0588235294117647
21,derecha,1,3,azul,5,346.416872383538,156.162317417808,319.424669972142,110,53.5753300278582,93.0350042399935,0.54426120989619,0.891987434803326,0.678491792851299,0.071535545513703,0.519744680275951,0.678491792851299
22,derecha,2,1,blanco,2,236.61176981409,293.71598169551,204.872770560975,241.019576481818,62.3436546692289,106.299695068512,0.135301809465859,0.0830571624058648,0.72042152111415,0.72042152111415,0.708656815231797,0.659102030779257
23,derecha,2,2,rojo,4,291.455742389191,251.603800641525,263.607787681041,203.989361418931,55.2673041915062,95.9731629672862,0.00182096972354624,0.85631407508039,0.762577765510195,0.762577765510195,0.116329358145039,0.109803921568627
24,derecha,2,3,amarillo,2,337.151690800906,216.515969425204,311.97004394861,173.092223614846,50.0078206006037,87.4692537120646,0.149997151811612,0.745433548649234,0.745098039215686,0.745098039215686,0.688950948176517,0.189431725067346
25,derecha,3,1,blanco,2,234.745057576214,350.083432951484,205.486045513078,300.947259327207,57.5546706674613,99.0527406727932,0.180122533130313,0.0714830846341691,0.693597969407447,0.690196078431373,0.693417284976703,0.643591678402721
26,derecha,3,2,verde,3,285.905380478999,306.151479741763,259.981914963718,261.457785552731,51.4756926823352,90.0367256392911,0.394010210620765,0.828402366863905,0.666932549586685,0.114403803567486,0.666932549586685,0.31589461654655
27,derecha,3,3,rojo,4,329.083226684342,269.074170382434,305.484724024941,228.089102639952,46.8852520198866,82.5188264970571,0.00210975744837348,0.82871966160042,0.75079202348452,0.75079202348452,0.129897535101815,0.129411764705882
10,izquierda,1,1,verde,3,43.0515605087388,147.263644870697,10,96.0000000000001,65.8601399124293,102.150421088666,0.390336700132444,0.822157607551857,0.752941176470588,0.133928494156627,0.752941176470588,0.345602273148795
11,izquierda,1,2,amarillo,2,104.610993773867,184.777306409868,70.7176488009557,131.986391302483,67.5294614512349,105.181181425699,0.157480773364981,0.722139273170285,0.877851423817967,0.877851423817967,0.843137254901961,0.243137254901961
12,izquierda,1,3,naranja,1,170.30178645042,224.808574275747,135.526269356053,170.397436939565,69.2782891262264,108.395527055252,0.08832056592831,0.936,0.980392156862745,0.980392156862745,0.549019607843137,0.0627450980392157
13,izquierda,2,1,naranja,1,49.6940001773055,211.60756151571,17.9080483986253,162.499497897531,63.3469451056768,97.8685751468797,0.0705798897201925,0.93756925081356,0.935949423134969,0.935949423134969,0.430817581537064,0.0587523488574326
14,izquierda,2,2,blanco,2,109.08389454032,249.681142552332,76.5204541512728,199.174581948913,64.8892527128647,100.644555228117,0.208182517352763,0.057992226865665,0.798534520390902,0.788235294117647,0.798534520390902,0.751218896690879
15,izquierda,2,3,rojo,4,172.300694682413,290.208070389148,138.923997318108,238.221864880894,66.5020143389954,103.580871001251,0.000874608959972609,0.855175199246541,0.881941351473569,0.881941351473569,0.131456797957489,0.127732108790907
16,izquierda,3,1,verde,3,55.85697597648,271.307012454476,25.2433182467739,224.182448893326,61.0184465282225,93.9276086252072,0.405620125390044,0.88357109160046,0.736329081571722,0.085958989786897,0.736329081571722,0.367642313744311
17,izquierda,3,2,rojo,4,113.224230036835,309.759304504004,81.8902876875007,261.34957793632,62.4476993063646,96.4792752376469,0.002440819808232,0.845583580063135,0.815686274509804,0.815686274509804,0.136234097856256,0.125507666453554
18,izquierda,3,3,verde,3,174.146376986045,350.594380631416,142.060322852513,300.828255852878,63.9396771474896,99.1717441471268,0.396106708504882,0.812538566854706,0.776470588235294,0.145350466752141,0.776470588235294,0.384354595542943
1,superior,1,1,naranja,1,69.6120162618222,98.2990860266268,10,66.2206649498627,119.414565181421,65.7907111140514,0.083245010071299,0.924,0.980266327663741,0.980266327663741,0.525490196078431,0.0745098039215686
2,superior,1,2,verde,3,127.434365950838,68.1262248634042,69.0974296571616,37.4808909942649,116.856046716884,62.8148552331288,0.420306404594875,0.896604121674135,0.78517428444752,0.0812812830829905,0.78517428444752,0.449577095292327
3,superior,1,3,naranja,1,182.663854623072,39.3063705547228,125.548853890354,10,114.40435468297,60.0368588281258,0.0684214958371838,0.857810042974401,0.977158188094077,0.977158188094077,0.483913955351252,0.138972144811292
4,superior,2,1,verde,3,132.738107113371,134.806883205904,71.3903461449139,100.962131897779,122.896989552664,69.4618584480444,0.422279792746114,0.918024181250389,0.819133783608977,0.0667484683266887,0.819133783608977,0.467400106669868
