cara,fila,columna,id_sticker,color,codigo,distancia_celda
superior,1,1,1,azul,Az,0
superior,1,2,2,azul,Az,0
superior,1,3,3,azul,Az,0
superior,2,1,4,azul,Az,0
superior,2,2,5,azul,Az,0
superior,2,3,6,azul,Az,0
superior,3,1,7,azul,Az,0
superior,3,2,8,azul,Az,0
superior,3,3,9,azul,Az,0
izquierda,1,1,10,rojo,R,0
izquierda,1,2,11,rojo,R,0
izquierda,1,3,12,rojo,R,0
izquierda,2,1,13,rojo,R,0
izquierda,2,2,14,rojo,R,0
izquierda,2,3,15,rojo,R,0
izquierda,3,1,16,rojo,R,0
izquierda,3,2,17,rojo,R,0
izquierda,3,3,18,rojo,R,0
derecha,1,1,19,amarillo,A,0
derecha,1,2,20,amarillo,A,0
derecha,1,3,21,amarillo,A,0
derecha,2,1,22,amarillo,A,0
derecha,2,2,23,amarillo,A,0
derecha,2,3,24,amarillo,A,0
derecha,3,1,25,amarillo,A,0
derecha,3,2,26,amarillo,A,0
derecha,3,3,27,amarillo,A,0
