cara,fila,columna,id_sticker,color,codigo,distancia_celda
superior,1,1,1,azul,Az,0
superior,1,2,2,rojo,R,0
superior,1,3,3,amarillo,A,0
superior,2,1,4,naranja,N,0
superior,2,2,5,amarillo,A,0
superior,2,3,6,blanco,B,0
superior,3,1,7,rojo,R,0
superior,3,2,8,blanco,B,0
superior,3,3,9,amarillo,A,0
izquierda,1,1,10,rojo,R,0
izquierda,1,2,11,azul,Az,0
izquierda,1,3,12,verde,V,0
izquierda,2,1,13,azul,Az,0
izquierda,2,2,14,azul,Az,0
izquierda,2,3,15,blanco,B,0
izquierda,3,1,16,blanco,B,0
izquierda,3,2,17,verde,V,0
izquierda,3,3,18,blanco,B,0
derecha,1,1,19,amarillo,A,0
derecha,1,2,20,rojo,R,0
derecha,1,3,21,verde,V,0
derecha,2,1,22,naranja,N,0
derecha,2,2,23,rojo,R,0
derecha,2,3,24,amarillo,A,0
derecha,3,1,25,naranja,N,0
derecha,3,2,26,verde,V,0
derecha,3,3,27,naranja,N,0
