cara,fila,columna,id_sticker,color,codigo,distancia_celda
superior,1,1,1,naranja,N,0
superior,1,2,2,azul,Az,0
superior,1,3,3,rojo,R,0
superior,2,1,4,azul,Az,0
superior,2,2,5,verde,V,0
superior,2,3,6,blanco,B,0
superior,3,1,7,amarillo,A,0
superior,3,2,8,naranja,N,0
superior,3,3,9,azul,Az,0
izquierda,1,1,10,blanco,B,0
izquierda,1,2,11,amarillo,A,0
izquierda,1,3,12,rojo,R,0
izquierda,2,1,13,amarillo,A,0
izquierda,2,2,14,naranja,N,0
izquierda,2,3,15,naranja,N,0
izquierda,3,1,16,amarillo,A,0
izquierda,3,2,17,rojo,R,0
izquierda,3,3,18,azul,Az,0
derecha,1,1,19,verde,V,0
derecha,1,2,20,verde,V,0
derecha,1,3,21,blanco,B,0
derecha,2,1,22,azul,Az,0
derecha,2,2,23,amarillo,A,0
derecha,2,3,24,rojo,R,0
derecha,3,1,25,blanco,B,0
derecha,3,2,26,azul,Az,0
derecha,3,3,27,rojo,R,0
