id,cara,fila,columna,color,cluster,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,meanH,meanS,meanV,meanR,meanG,meanB
19,derecha,1,1,rojo,4,251.050332996779,245.293322926153,203.433913610765,181.374333046374,93.9027313825433,129.674788896001,0.00188169475251127,0.887264891724348,0.792890463324724,0.792890463324724,0.0973975904416687,0.089947113957823
20,derecha,1,2,blanco,6,328.133821960066,205.212941624663,286.950124911061,148.928225323397,81.3454287781833,114.001667359842,0.196078431372549,0.0982658959537572,0.677394638984004,0.663331054064494,0.677394638984004,0.611000962501322
21,derecha,1,3,blanco,6,389.557743139985,173.274919422577,353.306267701232,123,71.6937322987682,101.697717181512,0.131944444444444,0.143946048997787,0.650823509902005,0.650823509902005,0.631372549019608,0.557350247079049
22,derecha,2,1,blanco,6,243.840290800431,323.346231278237,200.46934114514,264.111030434706,85.6379876992997,120.017480191588,0.254901960784314,0.0961073085221504,0.697360371338311,0.662135039945331,0.697360371338311,0.629981029012981
23,derecha,2,2,rojo,4,315.459442980075,278.383521411524,277.486298851671,225.748663418655,75.0790843904575,106.499846580296,0.00109975656410064,0.872488674133559,0.705353197419246,0.705353197419246,0.0905869491939401,0.0906250034501479
24,derecha,2,3,amarillo,1,373.591528509091,241.888030805438,339.846339428661,194.535757799244,66.7915409223353,95.7059131788384,0.151891883654024,0.792899408284024,0.667206205425961,0.667206205425961,0.619607843137255,0.137955345237653
25,derecha,3,1,rojo,4,237.820440642937,388.514617237772,198,333.34966749756,78.7100170125896,111.65033250244,0.996152309072792,0.879916105260039,0.766106111418231,0.766106111418231,0.0916497955516348,0.106373341781994
26,derecha,3,2,naranja,4,304.676024080137,340.637381284155,269.449688237505,291.229051825853,69.7075747682964,99.8843117939059,0.0638766825936865,0.925609641176207,0.790042424593906,0.790042424593906,0.338165554205998,0.0588235294117647
27,derecha,3,3,naranja,4,359.79837137532,301.162658425029,328.23639339996,256.429270395558,62.5143821134802,90.3477513419031,0.0561725605267099,0.910921487215253,0.780392156862745,0.780392156862745,0.309803921568627,0.0695161798953323
10,izquierda,1,1,amarillo,1,41.7690119380256,153.313421224718,10,94,63.2777487468251,118.140903245402,0.14433932691876,0.813538888334101,0.866666666666667,0.866666666666667,0.772549019607843,0.161295561315609
11,izquierda,1,2,rojo,4,99.8972906496304,194.177339197403,65.9864413966045,130.564488296597,67.5230720071941,126.66551285426,0.998714116389026,0.895594785391181,0.841443247166318,0.841443247166318,0.087731800512785,0.0933360997726742
12,izquierda,1,3,amarillo,1,167.480721796923,241.688186721676,131.123404023996,173.105140073217,75.8956472979328,136.513249578584,0.15279044012501,0.778143069410242,0.960531190338781,0.960531190338781,0.895652962033056,0.212721916442554
13,izquierda,2,1,amarillo,1,50.9075487820375,228.737452882358,21.488185906775,174.034361817199,58.6151280272504,108.990418992616,0.152377460448993,0.75347713601775,0.792219084338144,0.792219084338144,0.741176470588235,0.196078431372549
14,izquierda,2,2,verde,3,105.158114839591,271.662225046258,73.9116289250153,213.324371024896,62.2390787079403,116.201684183442,0.403102757661198,0.918218393286928,0.698316025695954,0.0571099712499422,0.698316025695954,0.325490196078431
15,izquierda,2,3,verde,3,167.497108306463,320.986818058863,134.185498210951,258.498070859985,69.2740513178215,124.432056325159,0.4069980697566,0.939548796326554,0.76078431372549,0.0458928693215385,0.76078431372549,0.362011230942564
16,izquierda,3,1,naranja,4,58.809286178682,293.953679695013,31.4160240286032,243.198300732602,54.5923644265635,101.151010410649,0.0639371076420487,0.938348234999917,0.886474464224862,0.886474464224862,0.37415774961744,0.0549019607843137
17,izquierda,3,2,azul,2,109.66110786143,337.98527399764,80.6908408692577,284.117242926602,57.7220270572462,107.329764956712,0.547731074786479,0.964468534495506,0.686271224486511,0.0243038379033356,0.498039215686275,0.686271224486511
