color,soporte,correctos,accuracy,precision,recall,f1_score
B,9,8,0.888888888888889,1,0.888888888888889,0.941176470588235
A,9,9,1,0.9,1,0.947368421052632
R,9,9,1,1,1,1
N,9,9,1,1,1,1
V,9,9,1,1,1,1
Az,9,8,0.888888888888889,0.888888888888889,0.888888888888889,0.888888888888889
