id,cara,fila,columna,color,cluster,centroid_x,centroid_y,bbox_x,bbox_y,bbox_w,bbox_h,meanH,meanS,meanV,meanR,meanG,meanB
19,derecha,1,1,verde,2,237.415301839907,248.870592042153,199.489728283632,192.722183303376,75.7838278400029,112.396660169786,0.391790920986699,0.747819811890748,0.740607489169984,0.186000030113979,0.740607489169984,0.381067804612157
20,derecha,1,2,amarillo,1,302.541609878357,206.991917418273,266.49212582275,153.570260214232,72.0380461613027,106.933747349385,0.156181374516995,0.68225150801633,0.808200345294212,0.808200345294212,0.775598843635295,0.257026055038859
21,derecha,1,3,amarillo,1,361.705280649836,168.947443650003,327.35516645033,118,68.6448335496698,101.977180609846,0.141249609763901,0.730051949176518,0.803251466184613,0.803251466184613,0.714685652213927,0.217586345142516
22,derecha,2,1,rojo,3,229.651428234806,315.190580256373,193.478396661029,261.585993401184,72.2848278780328,107.30007174536,0.0191159104651162,0.8928236388889,0.771036840581812,0.771036840581812,0.161513045883549,0.0823717256078062
23,derecha,2,2,amarillo,1,292.253886408507,272.12283221044,257.79145318803,221.008933808866,68.8691997820535,102.310493906993,0.149588146727352,0.711748022142954,0.767848266777398,0.767848266777398,0.711827233499914,0.222127047645637
24,derecha,2,3,verde,2,349.367112687732,232.831435175213,316.460924079369,183.98708410944,65.7615528648145,97.7642600364321,0.395337799508334,0.784238248049679,0.661154575376925,0.142699323067758,0.661154575376925,0.3361255247417
25,derecha,3,1,verde,2,222.575304039591,375.635726210416,188,324.354555964776,69.094667829536,102.645444035224,0.393251625434579,0.73343452659679,0.705882352941176,0.18768032573375,0.705882352941176,0.374433178284638
26,derecha,3,2,blanco,5,282.837466685002,331.737579093581,249.82824218659,282.740404981402,65.9673858388017,98.0702611497926,0.1875,0.0449438202247191,0.69835138614756,0.694301377207551,0.69835138614756,0.666911662677005
27,derecha,3,3,azul,4,338.029953060981,291.532452355382,306.45119874161,244.624534585506,63.1107116196579,93.8854522369381,0.556677158131375,0.914965537854411,0.688595070935908,0.0585920919665666,0.474509803921569,0.688595070935908
10,izquierda,1,1,blanco,5,40.7669785808831,162.31142216788,9.99999999999999,107,61.0005725348218,109.663950624399,0.197733627667843,0.0416666666666666,0.831114760181279,0.82393350907159,0.831114760181279,0.797103502602135
